Zodis                         Eilutes
------------------------------ ----------------------------------------
a                              3, 8, 17, 19, 24, 25, 31, 43, 51, 53, 55, 65, 79, 86, 690, 692
ab                             572
abiejų                        3, 41, 45, 47, 51, 55, 61
absoliutūs                    335, 419
administracinis                188, 189
airija                         276, 618
aktu                           45, 72
algirdas                       27, 121
aljanso                        186
alytaus                        198, 211, 212, 597, 735
amžiaus                       108, 618
aneksavo                       61, 82
anksčiau                      17, 51, 278, 692
anksčiausiai                  17, 61
antanas                        72, 80, 758
antrojo                        3, 90, 108, 626, 690
apie                           3, 17, 43, 82, 108, 115, 274, 330, 386, 618, 622, 643
apklausa                       683, 685
apsaugos                       173, 175, 177
apskrities                     643
apskritis                      198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 719, 730, 731, 732, 733, 734, 735, 736, 737, 738, 739
apskričių                    191, 194
apėmė                        31, 70, 108
ar                             17, 19, 456, 712
arba                           53, 102, 696, 712
asmens                         61, 72
asmenys                        108, 115
asmenų                        8, 108, 618
asociacija                     607
ataskaitą                     501, 507
atgavo                         47, 92
atidarė                       550, 744
atitinkamai                    643, 710
atkuriama                      72
atkurti                        61, 72, 108
atkūrimo                      106, 121, 620
atkūrimui                     72, 114
atkūrimą                     3
atkūrūs                      454, 694
atominės                      579, 588
atsisakė                      25, 72
atskirieji                     186
atvyko                         618
aukso                          27, 35, 50, 788
aukšto                        458, 497, 607
aukštos                       572, 586
aukštuma                      406, 410, 412, 414, 415
aukštą                       5, 456
automobilių                   563, 565
aušra�                        146, 165
baigėsi                       19, 47, 117
bajorų                        51
bal                            295, 342
balandžio                     79, 117
baltarusiai                    650, 683
baltarusija                    1, 274, 528, 544
baltarusijos                   31, 82, 604, 618
baltijos                       1, 17, 72, 97, 115, 186, 750
baltiška                      15, 753
baltų                         8, 15, 17, 19, 708, 750
bank�                          550
bažnyčios                    63, 694
be                             45, 51, 88
bei                            27, 43, 63, 70, 82, 92, 108, 289, 330, 618, 716
bendras                        386, 665
bendrojo                       186, 744
bendrą                        45
bent                           19, 604, 685, 716
bet                            17, 43, 51, 82, 104, 117, 186, 643, 753
bir                            297, 344
birž                          501, 507
birželio                      92, 98, 102, 115
biržų                        215, 274
blokada                        117
bolševikai                    82
brunono                        19
buvo                           3, 8, 15, 25, 31, 33, 35, 37, 39, 45, 47, 51, 53, 55, 61, 63, 70, 72, 80, 82, 86, 88, 90, 92, 98, 102, 104, 106, 108, 115, 117, 121, 194, 499, 517, 588, 590, 616, 618, 624, 643, 683, 690, 710, 750, 753, 758, 762, 786
bvp                            186, 456, 458, 462, 463, 468, 469, 479
būdu                          72, 125, 139
būna                          127, 330
būriai                        108
būti                          51, 108, 139
būtų                         92, 117
centras                        274, 452, 550
d                              3, 19, 43, 47, 51, 55, 72, 79, 80, 82, 84, 86, 90, 92, 98, 102, 114, 115, 117, 121, 125, 157, 456, 588, 616
dabartinė                     110, 788
dabartinės                    61, 70
dabartinę                     15
dalies                         31, 43
dalis                          53, 70, 72, 274, 417, 614, 626, 643
dalyje                         280, 386
dalyvavo                       33, 115, 690
dalį                          51, 53, 61, 92, 683
danija                         274, 492
dar                            3, 19, 47, 61, 115, 194, 626
darbams                        72, 106
darbo                          175, 618, 753
daug                           53, 685, 753, 776
daugelis                       8, 63
daugiau                        3, 108, 132, 186, 620, 626, 641, 715, 716
daugiausia                     55, 70, 604, 618, 620
daugiausiai                    27, 330, 643
dauguma                        3, 386, 588, 643, 710
daugumą                       641, 643
dažnai                        43, 51, 194
dažniausiai                   108, 330, 744
deklaracijos                   72, 117
deklaravo                      618, 696
demokratų                     147, 164
dešimtmečius                 43, 120
dideli                         61, 683
didelio                        108, 624
didelė                        19, 53
didieji                        1, 604
didikai                        35, 45, 51, 61
didikų                        37, 51
didysis                        33, 35, 39
didžiajai                     19, 61
didžiausi                     397, 430
didžiausia                    386, 641, 643
didžiausias                   1, 557, 624, 744
didžiausios                   517
didžiausią                   31, 35, 604, 683
didžiausių                   458, 624
didžioji                      3, 21, 25, 27, 31, 43, 55, 274, 626
didžiojo                      8, 43, 744
didžiosios                    27, 51
didžiulis                     115, 753
didžiąją                    51, 61
dienas                         108, 117
dienovidinio                   274, 750
dieną                         19, 72
dinastijos                     25, 43, 45
dirba                          618, 716
disko                          788
dokumentai                     84, 750
dsvl                           164, 170, 171
du                             132, 626
duomenimis                     499, 561, 576, 586, 604, 607, 616, 620, 628, 643, 712, 744
duomenis                       683, 712
duomenys                       186, 638, 674, 740
duomenų                       620, 683
duona                          775, 780
dvi                            685, 716
dviejų                        35, 750
dėl                           45, 55, 72, 117, 456, 622
e                              15, 556, 564
egzistuoja                     712
ekonomika                      5, 448, 453, 456
ekonomikos                     170, 186, 454, 458
ekonominė                     1, 88, 117
ekonominės                    117, 458, 622
eksporto                       517, 519
elektrinė                     572, 574
elektrinės                    579, 580, 581, 582, 583, 584, 588
elektros                       572, 574, 586, 590
emigrantų                     618
energetika                     570, 571
energetikos                    171, 576
energija                       595, 596, 597, 598, 599, 600
energijos                      572, 574, 583, 590
es                             588, 607
estija                         274, 456, 490, 526, 543
estiją                        276, 458
esą                           19, 696
etapas                         108
eu                             477, 512, 514
eur                            469, 483
eurobarometro                  683, 685
europoje                       1, 39, 334, 458, 559, 624, 744, 753
europos                        1, 5, 51, 121, 127, 274, 280, 456, 622, 685, 712, 785, 786
evangelikai                    701, 702
ežerai                        385, 397
ežerų                        289, 386
faktiškai                     47, 55
finansų                       84, 172, 456
fisher                         547, 550
g                              79, 750
gali                           572, 683
galia                          572, 576
galiojanti                     121, 125
galite                         615, 715
gavo                           37, 744
gediminaičių                 25, 43, 51
gediminas                      25, 27
geg                            296, 343
gegužės                      55, 84, 121
geležinkelio                  559
geležinkelis                  559, 563
geografija                     270, 271
geografijos                    274, 280
geografinėje                  274, 280
geopolitinė                   31, 458
gimė                          624
ginkluota                      108
gintaro                        17, 753
gintautas                      160, 168
giria                          432, 433, 435, 436
gitanas                        130, 132
graikija                       274, 456
greitai                        25, 70
gru                            303, 350
gruodžio                      72, 82, 86, 588
grupė                         108, 154, 186
gynybai                        186
gyvavo                         3, 39, 61, 72
gyvena                         618, 626, 643
gyvenamosios                   72, 716
gyvenime                       690, 753
gyvenimo                       63, 628
gyveno                         616, 626
gyventojai                     15, 72, 106, 117, 609, 610, 676, 719
gyventojams                    88, 102, 104, 117
gyventojui                     458
gyventojų                     53, 98, 104, 106, 108, 117, 499, 612, 616, 618, 624, 626, 628, 640, 641, 643, 683, 685, 690, 696, 710, 712, 716, 718, 753
iae                            590
ignalinos                      218, 274, 588, 624
ii                             17, 19, 39, 80
iki                            3, 51, 53, 61, 104, 108, 274, 330, 604, 616, 618, 622, 716, 744
ilgiausia                      386, 559
ilgio                          115, 559
ilgis                          1, 386
ilgumos                        274
ilgą                          186, 768
imperija                       17, 57
imperijos                      37, 51, 58, 60, 61
importo                        517, 532
indeksą                       456, 497
infliacija                     470, 475
informacijos                   614, 715
instaliuotoji                  572, 576
institucijos                   80, 84
ir                             1, 3, 8, 12, 15, 17, 19, 25, 27, 31, 33, 35, 37, 39, 43, 45, 47, 51, 53, 55, 61, 63, 67, 70, 72, 79, 82, 84, 86, 88, 92, 94, 97, 98, 102, 104, 106, 108, 110, 115, 117, 125, 127, 132, 149, 152, 156, 162, 170, 175, 178, 186, 191, 193, 274, 276, 282, 289, 330, 335, 385, 386, 417, 456, 458, 470, 496, 497, 517, 550, 557, 572, 574, 604, 606, 607, 615, 618, 620, 622, 624, 630, 641, 643, 683, 685, 689, 694, 696, 710, 715, 716, 744, 750, 753, 756, 776, 785, 786, 788
istorija                       10, 11, 12, 75
it                             450, 607
italija                        456, 541
iš                            1, 5, 8, 19, 43, 45, 51, 61, 63, 72, 108, 117, 132, 276, 280, 330, 484, 497, 559, 586, 604, 618, 620, 622, 683, 744, 750
iškovojo                      786, 788
išlaikė                      51, 55, 750
išplėtė                     27, 39
išrinko                       80, 86
išrinktas                     39, 72, 80, 84, 86, 121, 132
išsekino                      43, 55
išsikėlė                    154, 165, 169, 177, 179, 180, 182
išsiplėtimą                 31, 35
išsivystymo                   458, 497
išvyko                        618, 620
jam                            37, 47
jame                           63, 115
jas                            47, 63, 572
jau                            15, 17, 626
jav                            98, 456
ji                             55, 108, 458
jie                            127, 641, 643, 710
jis                            86, 744
jo                             27, 61, 63, 84, 86, 108, 139
jog                            108, 712, 744
jogaila                        33, 43
jogailaičių                  39, 45
jonas                          72, 758, 770, 786
jos                            3, 31, 43, 45, 53, 55, 98, 102, 194, 458, 683, 753
judėjimo                      108
jungtinių                     117, 497
jungtinė                      456, 529, 618
jungtinės                     604, 620, 622
juos                           17, 63, 102
juozas                         758, 762
jurbarko                       221, 389
ją                            84, 744
jį                            139, 744
jūrinio                       280, 330
jūros                         1, 17
jūrų                         186, 557
